ID_cliente,Fecha_contacto,Vendedor,Tipo_cliente,Segmento,Canal_principal,Cantidad_ovas_compradas,Monto_total_gastado,Frecuencia_compras,Ultima_compra,Dias_ultimo_contacto,Llamadas_recibidas,WhatsApp_recibidos,Emails_enviados,Reuniones_agendadas,Tiempo_respuesta_horas,Tasa_respuesta,Contactos_efectivos,Interes_compra,Satisfaccion,Probabilidad_retencion,Recomendaria,Cliente_interesado,Cliente_retenible
C000069,2024-11-20,VEND_012,Criadero,Mediano,WhatsApp,3344,401.28,8,2024-11-26,186,1,6,3,1,3.9,0.56,6,4,3,0.55,7,1,0
C000070,2024-06-02,VEND_017,Criadero,Mediano,Visita,4433,531.96,1,2024-11-12,357,5,1,1,3,9.0,0.22,2,4,5,0.58,7,1,0
C000071,2023-06-30,VEND_013,Distribuidor,Pequeño,Visita,1630,195.6,1,2024-09-22,695,4,1,0,5,8.3,0.16,2,5,3,0.39,5,1,0
C000072,2023-12-05,VEND_025,Criadero,Pequeño,Email,0,0.0,0,,537,0,0,4,0,15.9,0.77,3,2,3,0.39,8,0,0
C000073,2024-03-17,VEND_017,Criadero,Grande,Visita,0,0.0,0,,434,0,1,0,3,9.1,0.69,3,1,1,0.03,2,0,0
C000074,2024-07-24,VEND_022,Criadero,Mediano,Visita,0,0.0,0,,305,1,0,1,0,4.3,0.59,1,2,2,0.16,4,0,0
C000075,2023-12-12,VEND_016,Criadero,Pequeño,Visita,0,0.0,0,,530,0,0,0,1,7.3,0.77,1,3,3,0.36,3,0,0
C000076,2024-02-15,VEND_023,Criadero,Mediano,Email,4771,572.52,3,2025-02-11,465,1,0,3,0,16.1,0.41,2,4,3,0.56,8,1,0
C000077,2023-12-29,VEND_021,Distribuidor,Pequeño,WhatsApp,1336,160.32,1,2025-01-21,513,1,4,1,0,0.5,0.13,1,4,4,0.48,8,1,0
C000078,2025-04-04,VEND_027,Distribuidor,Mediano,Teléfono,0,0.0,0,,51,6,3,2,0,6.5,0.89,10,1,1,0.14,2,0,0
C000079,2024-07-25,VEND_004,Distribuidor,Grande,WhatsApp,6036,724.32,4,2025-02-20,304,0,5,1,0,0.5,0.71,4,4,3,0.45,5,1,0
C000080,2025-03-30,VEND_017,Restaurante Gourmet,Mediano,WhatsApp,3494,419.28,4,2025-04-03,56,0,3,0,0,1.9,0.51,2,5,5,0.76,9,1,1
C000081,2024-06-17,VEND_005,Restaurante Gourmet,Pequeño,WhatsApp,1901,228.12,1,2024-09-04,342,0,2,0,0,3.5,0.39,1,5,4,0.54,9,1,0
C000082,2023-12-27,VEND_008,Criadero,Grande,WhatsApp,7428,891.36,3,2024-07-21,515,0,1,2,0,1.9,0.45,1,3,5,0.74,8,1,1
C000083,2025-03-19,VEND_029,Restaurante Gourmet,Pequeño,Email,0,0.0,0,,67,2,3,3,0,9.4,0.65,5,1,2,0.24,3,0,0
C000084,2025-01-06,VEND_015,Criadero,Mediano,WhatsApp,0,0.0,0,,139,1,3,0,2,5.1,0.9,5,1,1,0.12,0,0,0
C000085,2023-08-03,VEND_024,Criadero,Mediano,WhatsApp,4506,540.72,6,2024-05-04,661,0,5,0,1,4.5,0.57,3,3,5,0.76,10,1,1
C000086,2024-02-07,VEND_002,Criadero,Pequeño,WhatsApp,0,0.0,0,,473,0,4,0,0,5.8,0.64,3,3,2,0.22,3,0,0
C000087,2023-09-18,VEND_018,Distribuidor,Pequeño,WhatsApp,0,0.0,0,,615,1,6,0,0,1.9,0.53,4,1,2,0.2,3,0,0
C000088,2024-01-22,VEND_011,Distribuidor,Mediano,Visita,0,0.0,0,,489,0,0,1,3,7.6,0.46,2,1,2,0.22,2,0,0
C000089,2024-06-05,VEND_028,Criadero,Mediano,WhatsApp,0,0.0,0,,354,0,4,0,1,3.0,0.22,1,1,1,0.02,0,0,0
C000090,2025-05-22,VEND_005,Criadero,Mediano,Teléfono,0,0.0,0,,3,2,1,2,0,2.4,0.73,4,1,1,0.28,4,0,0
C000091,2024-09-08,VEND_027,Criadero,Pequeño,Email,0,0.0,0,,259,0,1,2,0,15.1,0.85,3,2,2,0.2,5,0,0
C000092,2024-10-15,VEND_018,Distribuidor,Pequeño,Teléfono,0,0.0,0,,222,3,0,1,0,5.0,0.89,4,2,3,0.37,8,0,0
C000093,2024-09-05,VEND_010,Restaurante Gourmet,Grande,WhatsApp,0,0.0,0,,262,1,8,0,0,2.8,0.72,6,3,2,0.3,2,0,0
C000094,2024-09-02,VEND_018,Criadero,Grande,WhatsApp,9120,1094.4,7,2024-12-01,265,3,6,2,0,0.5,0.87,10,4,5,0.79,10,1,1
C000095,2025-02-27,VEND_005,Criadero,Pequeño,WhatsApp,0,0.0,0,,87,3,5,0,1,1.3,0.69,6,1,1,0.14,2,0,0
C000096,2025-05-11,VEND_019,Criadero,Grande,WhatsApp,0,0.0,0,,14,0,8,2,0,0.7,0.68,7,2,2,0.35,4,0,0
C000097,2024-02-13,VEND_010,Distribuidor,Mediano,WhatsApp,0,0.0,0,,467,1,3,0,0,3.3,0.55,2,1,3,0.4,6,0,0
C000098,2024-11-08,VEND_013,Criadero,Mediano,WhatsApp,0,0.0,0,,198,1,6,0,1,7.5,0.14,1,2,3,0.3,5,0,0
C000099,2025-01-05,VEND_029,Distribuidor,Grande,WhatsApp,8193,983.16,8,2025-01-16,140,0,1,1,0,2.6,0.85,2,4,5,0.77,8,1,1
C000100,2024-03-13,VEND_006,Restaurante Gourmet,Mediano,Teléfono,0,0.0,0,,438,3,1,2,0,6.6,0.58,3,1,3,0.37,5,0,0
C000101,2023-12-03,VEND_009,Distribuidor,Pequeño,WhatsApp,0,0.0,0,,539,1,4,1,1,1.1,0.28,2,2,3,0.36,5,0,0
C000102,2024-04-19,VEND_010,Criadero,Pequeño,Teléfono,0,0.0,0,,401,1,2,2,1,9.0,0.19,1,2,2,0.26,7,0,0
C000103,2023-09-05,VEND_030,Criadero,Pequeño,WhatsApp,0,0.0,0,,628,0,3,2,1,2.5,0.54,3,1,3,0.29,9,0,0
C000104,2025-02-15,VEND_024,Criadero,Mediano,WhatsApp,0,0.0,0,,99,1,5,1,1,5.3,0.59,5,2,2,0.3,5,0,0
C000105,2024-11-13,VEND_004,Distribuidor,Grande,Email,0,0.0,0,,193,1,1,2,0,12.4,0.72,3,2,2,0.28,5,0,0
C000106,2024-01-18,VEND_009,Criadero,Pequeño,Teléfono,0,0.0,0,,493,4,0,0,0,5.2,0.12,0,1,3,0.34,7,0,0
C000107,2025-05-09,VEND_004,Criadero,Pequeño,Visita,1489,178.68,2,2025-05-19,16,3,2,0,1,7.2,0.22,1,5,5,0.69,10,1,1
C000108,2023-08-19,VEND_010,Criadero,Pequeño,Email,1858,222.96,1,2024-07-03,645,0,1,4,0,8.3,0.73,4,4,3,0.33,5,1,0
C000109,2024-05-30,VEND_028,Criadero,Mediano,Visita,0,0.0,0,,360,0,1,1,1,7.5,0.16,0,1,1,0.1,0,0,0
C000110,2025-02-05,VEND_003,Distribuidor,Pequeño,Email,1876,225.12,2,2025-02-12,109,1,0,6,0,14.1,0.52,4,4,4,0.63,8,1,1
C000111,2025-02-28,VEND_003,Criadero,Pequeño,Teléfono,0,0.0,0,,86,10,1,1,0,3.9,0.86,10,2,3,0.4,7,0,0
C000112,2025-04-09,VEND_022,Criadero,Pequeño,WhatsApp,1137,136.44,2,2025-04-11,46,0,4,0,0,2.3,0.2,1,5,5,0.57,10,1,0
C000113,2024-08-27,VEND_027,Criadero,Mediano,Email,4835,580.2,8,2025-02-10,271,1,2,8,0,11.0,0.27,3,5,4,0.61,10,1,1
C000114,2024-07-14,VEND_019,Restaurante Gourmet,Pequeño,Email,1354,162.48,3,2024-09-08,315,0,1,3,2,14.5,0.69,4,5,4,0.59,6,1,0
C000115,2024-08-02,VEND_021,Criadero,Grande,WhatsApp,0,0.0,0,,296,0,4,1,1,4.8,0.49,3,3,2,0.3,6,0,0
C000116,2024-04-11,VEND_018,Restaurante Gourmet,Pequeño,WhatsApp,0,0.0,0,,409,0,6,0,0,1.7,0.14,1,2,3,0.29,6,0,0
C000117,2024-07-28,VEND_029,Distribuidor,Mediano,WhatsApp,0,0.0,0,,301,3,3,1,1,2.3,0.61,5,3,3,0.43,7,0,0
C000118,2024-03-18,VEND_025,Criadero,Pequeño,Teléfono,0,0.0,0,,433,2,2,1,0,7.1,0.49,2,3,1,0.03,4,0,0
C000119,2024-04-01,VEND_020,Criadero,Grande,WhatsApp,0,0.0,0,,419,1,8,0,1,5.7,0.72,7,1,1,0.17,0,0,0
C000120,2024-05-05,VEND_014,Criadero,Mediano,Email,4308,516.96,2,2024-07-10,385,0,0,3,1,12.6,0.87,3,3,4,0.6,10,1,1
C000121,2024-01-25,VEND_029,Criadero,Pequeño,Teléfono,0,0.0,0,,486,5,4,1,0,5.0,0.45,4,3,3,0.31,6,0,0
C000122,2025-03-26,VEND_027,Criadero,Pequeño,Teléfono,1418,170.16,2,2025-03-29,60,4,1,0,0,5.6,0.75,4,3,4,0.56,7,1,0
C000123,2024-07-08,VEND_008,Criadero,Mediano,Teléfono,3474,416.88,3,2024-08-08,321,2,1,2,1,6.4,0.33,2,3,3,0.46,6,0,0
C000124,2024-07-06,VEND_017,Distribuidor,Mediano,Teléfono,0,0.0,0,,323,3,1,0,2,7.2,0.77,5,2,1,0.0,1,0,0
C000125,2023-08-17,VEND_004,Distribuidor,Pequeño,WhatsApp,1695,203.4,1,2024-01-03,647,0,3,1,0,4.8,0.71,3,4,4,0.5,9,1,0
C000126,2025-02-26,VEND_015,Distribuidor,Mediano,WhatsApp,4806,576.72,3,2025-03-23,88,5,8,1,1,5.6,0.44,7,3,3,0.5,4,1,0
C000127,2025-01-04,VEND_008,Restaurante Gourmet,Pequeño,Teléfono,1364,163.68,3,2025-01-21,141,2,1,1,0,3.6,0.6,2,5,5,0.73,8,1,1
C000128,2024-04-08,VEND_004,Distribuidor,Pequeño,WhatsApp,1281,153.72,4,2024-11-15,412,1,2,0,0,7.1,0.49,1,3,5,0.74,10,0,1
C000129,2024-05-26,VEND_027,Distribuidor,Mediano,WhatsApp,4078,489.36,3,2024-07-20,364,0,4,0,0,3.8,0.36,1,4,3,0.5,8,1,0
C000130,2024-07-10,VEND_019,Criadero,Mediano,WhatsApp,4399,527.88,5,2025-02-19,319,4,1,3,0,4.9,0.15,1,4,5,0.67,10,1,1
C000131,2024-06-19,VEND_028,Criadero,Pequeño,Visita,1005,120.6,1,2025-05-02,340,1,2,0,2,9.7,0.49,2,4,5,0.63,9,1,1
C000132,2023-09-02,VEND_012,Exportador,Mediano,Teléfono,3341,400.92,4,2025-02-20,631,3,1,1,0,3.5,0.47,2,3,4,0.58,9,1,0
C000133,2024-01-15,VEND_024,Criadero,Mediano,Teléfono,0,0.0,0,,496,3,0,1,0,7.4,0.43,2,1,2,0.23,3,0,0
C000134,2024-01-31,VEND_027,Distribuidor,Mediano,WhatsApp,3372,404.64,3,2024-09-01,480,2,0,0,1,1.7,0.5,2,3,3,0.4,7,1,0
C000135,2024-05-13,VEND_026,Criadero,Pequeño,WhatsApp,0,0.0,0,,377,0,3,4,1,0.9,0.44,3,1,2,0.22,4,0,0
C000136,2024-03-27,VEND_002,Restaurante Gourmet,Mediano,Visita,0,0.0,0,,424,0,0,1,4,3.9,0.08,0,1,3,0.33,7,0,0
C000137,2024-02-08,VEND_030,Distribuidor,Pequeño,WhatsApp,1828,219.36,1,2024-06-02,472,1,4,0,0,0.6,0.14,1,5,5,0.57,10,1,0
C000138,2025-03-28,VEND_009,Criadero,Pequeño,WhatsApp,1480,177.6,3,2025-04-17,58,0,5,1,0,6.4,0.82,5,3,3,0.37,9,1,0
C000139,2024-01-18,VEND_016,Criadero,Pequeño,Email,0,0.0,0,,493,1,0,6,0,12.0,0.44,3,1,1,0.24,0,0,0
C000140,2025-03-09,VEND_020,Criadero,Pequeño,Email,1089,130.68,3,2025-05-21,77,2,1,1,0,9.4,0.09,0,3,3,0.47,6,0,0
C000141,2025-05-17,VEND_014,Criadero,Pequeño,Visita,1973,236.76,2,2025-05-24,8,0,2,2,0,9.1,0.73,3,4,5,0.6,10,1,0
C000142,2024-10-31,VEND_009,Criadero,Pequeño,WhatsApp,0,0.0,0,,206,2,9,0,0,3.2,0.22,2,3,3,0.41,5,0,0
C000143,2024-04-30,VEND_004,Restaurante Gourmet,Pequeño,WhatsApp,1690,202.8,3,2025-02-27,390,0,3,1,0,5.3,0.18,1,4,5,0.67,9,1,1
C000144,2025-03-21,VEND_012,Criadero,Mediano,WhatsApp,3301,396.12,2,2025-05-14,65,1,5,1,0,2.6,0.42,3,4,5,0.71,10,1,1
C000145,2024-10-15,VEND_022,Criadero,Pequeño,Teléfono,0,0.0,0,,222,5,2,0,0,6.0,0.56,4,1,3,0.44,5,0,0
C000146,2024-11-08,VEND_006,Criadero,Mediano,Visita,4803,576.36,3,2025-05-08,198,1,0,0,4,5.7,0.78,4,5,3,0.42,7,1,0
C000147,2023-11-20,VEND_011,Criadero,Pequeño,Teléfono,1909,229.08,5,2024-09-03,552,2,1,2,0,6.3,0.45,2,3,3,0.53,3,0,0
C000148,2025-03-10,VEND_003,Distribuidor,Grande,Email,0,0.0,0,,76,1,0,8,0,11.5,0.51,5,3,3,0.42,6,0,0
C000149,2024-02-20,VEND_023,Criadero,Pequeño,WhatsApp,0,0.0,0,,460,1,7,1,0,0.9,0.68,6,2,3,0.34,7,0,0
C000150,2023-07-30,VEND_029,Criadero,Mediano,WhatsApp,3173,380.76,1,2025-03-28,665,0,6,0,0,2.3,0.81,5,5,3,0.36,6,1,0
C000151,2024-01-21,VEND_010,Criadero,Pequeño,Email,1299,155.88,5,2024-06-07,490,1,2,4,1,12.7,0.63,5,3,3,0.53,8,1,0
C000152,2023-08-29,VEND_009,Restaurante Gourmet,Pequeño,Visita,0,0.0,0,,635,0,1,2,5,7.6,0.47,4,2,3,0.39,7,0,0
C000153,2024-01-14,VEND_006,Distribuidor,Pequeño,Teléfono,1365,163.8,0,2024-09-06,497,2,0,0,0,5.3,0.75,2,4,5,0.64,8,1,1
C000154,2025-01-10,VEND_004,Distribuidor,Pequeño,Visita,1464,175.68,1,2025-02-14,135,1,2,0,0,6.0,0.37,1,5,5,0.6,10,1,1
C000155,2024-03-23,VEND_006,Criadero,Pequeño,Teléfono,1547,185.64,1,2024-09-17,428,7,0,1,0,4.8,0.71,6,4,5,0.59,10,1,0
C000156,2024-09-10,VEND_020,Restaurante Gourmet,Pequeño,WhatsApp,1773,212.76,1,2024-09-25,257,0,2,2,1,3.1,0.3,2,5,5,0.67,10,1,1
C000157,2023-07-14,VEND_022,Criadero,Pequeño,Teléfono,0,0.0,0,,681,7,1,1,0,5.1,0.41,4,2,3,0.32,8,0,0
C000158,2024-10-31,VEND_011,Distribuidor,Mediano,WhatsApp,0,0.0,0,,206,2,5,0,0,1.2,0.09,1,2,2,0.21,6,0,0
C000159,2024-03-11,VEND_026,Criadero,Grande,Teléfono,0,0.0,0,,440,2,1,3,1,2.8,0.73,5,2,2,0.25,4,0,0
C000160,2024-02-09,VEND_016,Criadero,Grande,WhatsApp,0,0.0,0,,471,2,3,2,1,2.0,0.58,5,3,2,0.22,4,0,0
C000161,2023-10-28,VEND_027,Distribuidor,Mediano,WhatsApp,0,0.0,0,,575,3,0,1,0,4.6,0.39,2,1,3,0.3,5,0,0
C000162,2024-01-30,VEND_006,Distribuidor,Grande,WhatsApp,0,0.0,0,,481,1,5,3,1,2.7,0.7,7,3,2,0.35,2,0,0
C000163,2023-12-27,VEND_018,Criadero,Mediano,Email,4174,500.88,3,2025-05-24,515,0,1,4,0,11.0,0.21,1,5,4,0.51,10,1,0
C000164,2025-05-08,VEND_018,Criadero,Mediano,Teléfono,4481,537.72,5,2025-05-13,17,6,1,1,0,7.0,0.91,7,3,5,0.8,10,1,1
C000165,2025-02-26,VEND_004,Restaurante Gourmet,Mediano,Teléfono,4589,550.68,6,2025-03-22,88,1,1,1,0,4.9,0.18,1,4,4,0.67,5,1,1
C000166,2024-10-22,VEND_016,Distribuidor,Pequeño,WhatsApp,0,0.0,0,,215,1,4,1,1,2.4,0.2,1,1,1,0.08,3,0,0
C000167,2024-11-09,VEND_001,Restaurante Gourmet,Mediano,WhatsApp,4947,593.64,5,2024-11-24,197,0,6,3,0,7.0,0.71,6,3,4,0.64,5,1,1
